2025.12.19 20:12:23 INFO  Started: Metals version 1.6.4 in folders '/Users/verussequeira/Documents/userdata/Workspace/spark-analytics-job' for client Cursor 1.99.3.
2025.12.19 20:12:23 WARN  Using H2 2.4.240 which is newer than the version Flyway has been verified with. The latest verified version of H2 is 2.3.232.
2025.12.19 20:12:58 INFO  running '/opt/homebrew/bin/sbt -Dbloop.export-jar-classifiers=sources bloopInstall'
2025.12.19 20:12:58 WARN  no build target for: /Users/verussequeira/Documents/userdata/Workspace/spark-analytics-job/project/metals.sbt
2025.12.19 20:12:58 WARN  no build target for: /Users/verussequeira/Documents/userdata/Workspace/spark-analytics-job/project/project/metals.sbt
2025.12.19 20:12:58 INFO  no build target found for /Users/verussequeira/Documents/userdata/Workspace/spark-analytics-job/project/project/metals.sbt. Using presentation compiler with project's scala-library version: 3.3.6
2025.12.19 20:12:59 INFO  [info] welcome to sbt 1.10.11 (Homebrew Java 17.0.14)
2025.12.19 20:13:00 INFO  [info] loading settings for project spark-analytics-job-build-build-build from metals.sbt...
2025.12.19 20:13:00 INFO  [info] loading project definition from /Users/verussequeira/Documents/userdata/Workspace/spark-analytics-job/project/project/project
2025.12.19 20:13:03 INFO  no build target found for /Users/verussequeira/Documents/userdata/Workspace/spark-analytics-job/project/metals.sbt. Using presentation compiler with project's scala-library version: 3.3.6
2025.12.19 20:13:03 INFO  [info] loading settings for project spark-analytics-job-build-build from metals.sbt...
2025.12.19 20:13:03 INFO  [info] loading project definition from /Users/verussequeira/Documents/userdata/Workspace/spark-analytics-job/project/project
2025.12.19 20:13:06 INFO  [success] Generated .bloop/spark-analytics-job-build-build.json
2025.12.19 20:13:06 INFO  [success] Total time: 3 s, completed Dec 19, 2025, 8:13:06 PM
2025.12.19 20:13:06 INFO  [info] loading settings for project spark-analytics-job-build from metals.sbt, plugins.sbt...
2025.12.19 20:13:06 INFO  [info] loading project definition from /Users/verussequeira/Documents/userdata/Workspace/spark-analytics-job/project
2025.12.19 20:13:09 INFO  [success] Generated .bloop/spark-analytics-job-build.json
2025.12.19 20:13:09 INFO  [success] Total time: 2 s, completed Dec 19, 2025, 8:13:09 PM
2025.12.19 20:13:11 INFO  [info] loading settings for project spark-analytics-job from build.sbt...
2025.12.19 20:13:11 INFO  [info] set current project to spark-analytics-job (in build file:/Users/verussequeira/Documents/userdata/Workspace/spark-analytics-job/)
2025.12.19 20:13:19 INFO  [success] Generated .bloop/spark-analytics-job.json
2025.12.19 20:13:19 INFO  [success] Generated .bloop/spark-analytics-job-test.json
2025.12.19 20:13:19 INFO  [success] Total time: 8 s, completed Dec 19, 2025, 8:13:19 PM
2025.12.19 20:13:19 INFO  time: ran 'sbt bloopInstall' in 21s
2025.12.19 20:13:19 INFO  Attempting to connect to the build server...
2025.12.19 20:13:19 INFO  No running Bloop server found, starting one.
2025.12.19 20:13:29 INFO  Starting compilation server
2025.12.19 20:13:29 INFO  tracing is disabled for protocol BSP, to enable tracing of incoming and outgoing JSON messages create an empty file at /Users/verussequeira/Documents/userdata/Workspace/spark-analytics-job/.metals/bsp.trace.json or /Users/verussequeira/Library/Caches/org.scalameta.metals/bsp.trace.json
2025.12.19 20:13:32 INFO  Attempting to connect to the build server...
2025.12.19 20:13:32 INFO  Found a Bloop server running
2025.12.19 20:13:32 INFO  Attempting to connect to the build server...
2025.12.19 20:13:32 INFO  Found a Bloop server running
2025.12.19 20:13:32 INFO  tracing is disabled for protocol BSP, to enable tracing of incoming and outgoing JSON messages create an empty file at /Users/verussequeira/Documents/userdata/Workspace/spark-analytics-job/project/project/.metals/bsp.trace.json or /Users/verussequeira/Library/Caches/org.scalameta.metals/bsp.trace.json
2025.12.19 20:13:32 INFO  tracing is disabled for protocol BSP, to enable tracing of incoming and outgoing JSON messages create an empty file at /Users/verussequeira/Documents/userdata/Workspace/spark-analytics-job/project/.metals/bsp.trace.json or /Users/verussequeira/Library/Caches/org.scalameta.metals/bsp.trace.json
2025.12.19 20:13:32 INFO  time: Connected to build server in 13s
2025.12.19 20:13:32 INFO  Connected to Build server: Bloop v2.0.17
2025.12.19 20:13:33 INFO  time: Imported build in 0.1s
2025.12.19 20:13:39 WARN  Using H2 2.4.240 which is newer than the version Flyway has been verified with. The latest verified version of H2 is 2.3.232.
2025.12.19 20:13:48 INFO  Created report: Optional[file:///Users/verussequeira/Documents/userdata/Workspace/spark-analytics-job/jar:file:/Users/verussequeira/Library/Caches/Coursier/v1/https/repo1.maven.org/maven2/org/apache/hadoop/hadoop-client-api/3.3.4/hadoop-client-api-3.3.4-sources.jar!/org/apache/hadoop/hdfs/protocol/proto/ClientNamenodeProtocolProtos.java]
2025.12.19 20:13:48 INFO  Java indexer failed with and exception. (full report at: "/Users/verussequeira/Documents/userdata/Workspace/spark-analytics-job/.metals/.reports/metals-full/2025-12-19/r_failed-idex-java_20-13-48-839.md")
2025.12.19 20:13:48 INFO  Created report: Optional[file:///Users/verussequeira/Documents/userdata/Workspace/spark-analytics-job/jar:file:/Users/verussequeira/Library/Caches/Coursier/v1/https/repo1.maven.org/maven2/org/apache/hadoop/hadoop-client-api/3.3.4/hadoop-client-api-3.3.4-sources.jar!/org/apache/hadoop/hdfs/protocol/proto/ClientDatanodeProtocolProtos.java]
2025.12.19 20:13:48 INFO  Java indexer failed with and exception. (full report at: "/Users/verussequeira/Documents/userdata/Workspace/spark-analytics-job/.metals/.reports/metals-full/2025-12-19/r_failed-idex-java_20-13-48-963.md")
2025.12.19 20:13:48 INFO  Created report: Optional[file:///Users/verussequeira/Documents/userdata/Workspace/spark-analytics-job/jar:file:/Users/verussequeira/Library/Caches/Coursier/v1/https/repo1.maven.org/maven2/org/apache/hadoop/hadoop-client-api/3.3.4/hadoop-client-api-3.3.4-sources.jar!/org/apache/hadoop/security/proto/RefreshUserMappingsProtocolProtos.java]
2025.12.19 20:13:48 INFO  Java indexer failed with and exception. (full report at: "/Users/verussequeira/Documents/userdata/Workspace/spark-analytics-job/.metals/.reports/metals-full/2025-12-19/r_failed-idex-java_20-13-49-334.md")
2025.12.19 20:13:48 INFO  Created report: Optional[file:///Users/verussequeira/Documents/userdata/Workspace/spark-analytics-job/jar:file:/Users/verussequeira/Library/Caches/Coursier/v1/https/repo1.maven.org/maven2/org/apache/hadoop/hadoop-client-api/3.3.4/hadoop-client-api-3.3.4-sources.jar!/org/apache/hadoop/ipc/protobuf/TestRpcServiceProtos.java]
2025.12.19 20:13:48 INFO  Java indexer failed with and exception. (full report at: "/Users/verussequeira/Documents/userdata/Workspace/spark-analytics-job/.metals/.reports/metals-full/2025-12-19/r_failed-idex-java_20-13-49-413.md")
2025.12.19 20:13:48 INFO  Created report: Optional[file:///Users/verussequeira/Documents/userdata/Workspace/spark-analytics-job/jar:file:/Users/verussequeira/Library/Caches/Coursier/v1/https/repo1.maven.org/maven2/org/apache/hadoop/hadoop-client-api/3.3.4/hadoop-client-api-3.3.4-sources.jar!/org/apache/hadoop/ipc/protobuf/TestRpcServiceProtosLegacy.java]
2025.12.19 20:13:48 INFO  Java indexer failed with and exception. (full report at: "/Users/verussequeira/Documents/userdata/Workspace/spark-analytics-job/.metals/.reports/metals-full/2025-12-19/r_failed-idex-java_20-13-49-425.md")
2025.12.19 20:13:48 INFO  Created report: Optional[file:///Users/verussequeira/Documents/userdata/Workspace/spark-analytics-job/jar:file:/Users/verussequeira/Library/Caches/Coursier/v1/https/repo1.maven.org/maven2/org/apache/hadoop/hadoop-client-api/3.3.4/hadoop-client-api-3.3.4-sources.jar!/org/apache/hadoop/ipc/protobuf/IpcConnectionContextProtos.java]
2025.12.19 20:13:48 INFO  Java indexer failed with and exception. (full report at: "/Users/verussequeira/Documents/userdata/Workspace/spark-analytics-job/.metals/.reports/metals-full/2025-12-19/r_failed-idex-java_20-13-49-458.md")
2025.12.19 20:13:48 INFO  Created report: Optional[file:///Users/verussequeira/Documents/userdata/Workspace/spark-analytics-job/jar:file:/Users/verussequeira/Library/Caches/Coursier/v1/https/repo1.maven.org/maven2/org/apache/hadoop/hadoop-client-api/3.3.4/hadoop-client-api-3.3.4-sources.jar!/org/apache/hadoop/ipc/protobuf/RpcHeaderProtos.java]
2025.12.19 20:13:48 INFO  Java indexer failed with and exception. (full report at: "/Users/verussequeira/Documents/userdata/Workspace/spark-analytics-job/.metals/.reports/metals-full/2025-12-19/r_failed-idex-java_20-13-49-472.md")
2025.12.19 20:13:48 INFO  Created report: Optional[file:///Users/verussequeira/Documents/userdata/Workspace/spark-analytics-job/jar:file:/Users/verussequeira/Library/Caches/Coursier/v1/https/repo1.maven.org/maven2/org/apache/hadoop/hadoop-client-api/3.3.4/hadoop-client-api-3.3.4-sources.jar!/org/apache/hadoop/tracing/TraceAdminPB.java]
2025.12.19 20:13:48 INFO  Java indexer failed with and exception. (full report at: "/Users/verussequeira/Documents/userdata/Workspace/spark-analytics-job/.metals/.reports/metals-full/2025-12-19/r_failed-idex-java_20-13-49-581.md")
2025.12.19 20:13:48 INFO  Created report: Optional[file:///Users/verussequeira/Documents/userdata/Workspace/spark-analytics-job/jar:file:/Users/verussequeira/Library/Caches/Coursier/v1/https/repo1.maven.org/maven2/org/apache/hadoop/hadoop-client-api/3.3.4/hadoop-client-api-3.3.4-sources.jar!/org/apache/hadoop/fs/audit/AuditConstants.java]
2025.12.19 20:13:48 INFO  Java indexer failed with and exception. (full report at: "/Users/verussequeira/Documents/userdata/Workspace/spark-analytics-job/.metals/.reports/metals-full/2025-12-19/r_failed-idex-java_20-13-49-654.md")
2025.12.19 20:13:54 INFO  Created report: Optional[file:///Users/verussequeira/Documents/userdata/Workspace/spark-analytics-job/jar:file:/Users/verussequeira/Library/Caches/Coursier/v1/https/repo1.maven.org/maven2/org/apache/arrow/arrow-vector/12.0.1/arrow-vector-12.0.1-sources.jar!/codegen/templates/ArrowType.java]
2025.12.19 20:13:54 INFO  Java indexer failed with and exception. (full report at: "/Users/verussequeira/Documents/userdata/Workspace/spark-analytics-job/.metals/.reports/metals-full/2025-12-19/r_failed-idex-java_20-13-54-598.md")
2025.12.19 20:13:54 INFO  Created report: Optional[file:///Users/verussequeira/Documents/userdata/Workspace/spark-analytics-job/jar:file:/Users/verussequeira/Library/Caches/Coursier/v1/https/repo1.maven.org/maven2/org/apache/arrow/arrow-vector/12.0.1/arrow-vector-12.0.1-sources.jar!/codegen/templates/UnionReader.java]
2025.12.19 20:13:54 INFO  Java indexer failed with and exception. (full report at: "/Users/verussequeira/Documents/userdata/Workspace/spark-analytics-job/.metals/.reports/metals-full/2025-12-19/r_failed-idex-java_20-13-54-602.md")
2025.12.19 20:13:54 INFO  Created report: Optional[file:///Users/verussequeira/Documents/userdata/Workspace/spark-analytics-job/jar:file:/Users/verussequeira/Library/Caches/Coursier/v1/https/repo1.maven.org/maven2/org/apache/arrow/arrow-vector/12.0.1/arrow-vector-12.0.1-sources.jar!/codegen/templates/BaseWriter.java]
2025.12.19 20:13:54 INFO  Java indexer failed with and exception. (full report at: "/Users/verussequeira/Documents/userdata/Workspace/spark-analytics-job/.metals/.reports/metals-full/2025-12-19/r_failed-idex-java_20-13-54-603.md")
2025.12.19 20:13:54 INFO  Created report: Optional[file:///Users/verussequeira/Documents/userdata/Workspace/spark-analytics-job/jar:file:/Users/verussequeira/Library/Caches/Coursier/v1/https/repo1.maven.org/maven2/org/apache/arrow/arrow-vector/12.0.1/arrow-vector-12.0.1-sources.jar!/codegen/templates/CaseSensitiveStructWriters.java]
2025.12.19 20:13:54 INFO  Java indexer failed with and exception. (full report at: "/Users/verussequeira/Documents/userdata/Workspace/spark-analytics-job/.metals/.reports/metals-full/2025-12-19/r_failed-idex-java_20-13-54-605.md")
2025.12.19 20:13:54 INFO  Created report: Optional[file:///Users/verussequeira/Documents/userdata/Workspace/spark-analytics-job/jar:file:/Users/verussequeira/Library/Caches/Coursier/v1/https/repo1.maven.org/maven2/org/apache/arrow/arrow-vector/12.0.1/arrow-vector-12.0.1-sources.jar!/codegen/templates/DenseUnionVector.java]
2025.12.19 20:13:54 INFO  Java indexer failed with and exception. (full report at: "/Users/verussequeira/Documents/userdata/Workspace/spark-analytics-job/.metals/.reports/metals-full/2025-12-19/r_failed-idex-java_20-13-54-607.md")
2025.12.19 20:13:54 INFO  Created report: Optional[file:///Users/verussequeira/Documents/userdata/Workspace/spark-analytics-job/jar:file:/Users/verussequeira/Library/Caches/Coursier/v1/https/repo1.maven.org/maven2/org/apache/arrow/arrow-vector/12.0.1/arrow-vector-12.0.1-sources.jar!/codegen/templates/AbstractPromotableFieldWriter.java]
2025.12.19 20:13:54 INFO  Java indexer failed with and exception. (full report at: "/Users/verussequeira/Documents/userdata/Workspace/spark-analytics-job/.metals/.reports/metals-full/2025-12-19/r_failed-idex-java_20-13-54-611.md")
